x,y
0.000000,16.437737
0.420168,7.024665
0.840336,22.692685
1.260504,25.558131
1.680672,3.769870
2.100840,10.305253
2.521008,23.089950
2.941176,20.881824
3.361345,24.621893
3.781513,19.276489
4.201681,34.480562
4.621849,35.012251
5.042017,30.662699
5.462185,40.496921
5.882353,36.563604
6.302521,27.293728
6.722689,38.462611
7.142857,29.186082
7.563025,45.229283
7.983193,39.146811
8.403361,39.411857
8.823529,36.787858
9.243697,53.360163
9.663866,43.688134
10.084034,42.842285
10.504202,44.796377
10.924370,53.216457
11.344538,53.226074
11.764706,54.948920
12.184874,56.438165
12.605042,71.469315
13.025210,52.429352
13.445378,52.927268
13.865546,51.859566
14.285714,64.642121
14.705882,70.090602
15.126050,61.491782
15.546218,57.026647
15.966387,58.496587
16.386555,71.641717
16.806723,73.727546
17.226891,73.471285
17.647059,65.146511
18.067227,73.672417
18.487395,74.093150
18.907563,76.253710
19.327731,82.820170
19.747899,78.982042
20.168067,83.969124
20.588235,80.422985
21.008403,83.539846
21.428571,87.621734
21.848739,72.258720
22.268908,82.703134
22.689076,82.842061
23.109244,82.838557
23.529412,87.092980
23.949580,102.598186
24.369748,85.056544
24.789916,101.073958
25.210084,81.209311
25.630252,93.337726
26.050420,98.663369
26.470588,103.395661
26.890756,105.740233
27.310924,107.741736
27.731092,99.949695
28.151261,100.385219
28.571429,112.292378
28.991597,105.242675
29.411765,97.912156
29.831933,100.395887
30.252101,103.451104
30.672269,116.128546
31.092437,114.635204
31.512605,120.364219
31.932773,112.766853
32.352941,118.797729
32.773109,123.878673
33.193277,117.743715
33.613445,125.217227
34.033613,117.612155
34.453782,121.347670
34.873950,122.542736
35.294118,117.374459
35.714286,132.181494
36.134454,125.875033
36.554622,131.074743
36.974790,136.165301
37.394958,137.236115
37.815126,140.331484
38.235294,135.565057
38.655462,134.311092
39.075630,138.404271
39.495798,126.887879
39.915966,130.154193
40.336134,132.494033
40.756303,136.442193
41.176471,148.962900
41.596639,139.865411
42.016807,145.428481
42.436975,160.192146
42.857143,148.292745
43.277311,158.387520
43.697479,146.362991
44.117647,153.532970
44.537815,148.920832
44.957983,155.153282
45.378151,165.932549
45.798319,146.736058
46.218487,165.374549
46.638655,165.145582
47.058824,159.835036
47.478992,154.364310
47.899160,167.854347
48.319328,164.385907
48.739496,171.827796
49.159664,171.485742
49.579832,185.469693
50.000000,172.085155
